Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
21.2,93,15.2,97.5,overcast,1007.61,0,Summer,1.6,coastal,Rainy
38.5,56,2.5,72.2,clear,1014.61,10,Winter,2.1,mountain,Rainy
32.0,48,11.0,65.7,clear,993.34,2,Autumn,0.5,coastal,Sunny
28.0,72,7.9,75.7,clear,1025.3,8,Autumn,7.3,mountain,Rainy
14.7,92,9.4,95.3,partly cloudy,1022.14,10,Summer,7.5,inland,Cloudy
14.7,59,12.3,90.8,partly cloudy,1010.21,1,Winter,5.4,coastal,Rainy
11.7,52,10.3,72.4,clear,1028.69,3,Summer,2.0,coastal,Cloudy
36.0,67,11.0,74.9,partly cloudy,1006.71,3,Autumn,1.3,inland,Rainy
28.0,87,10.0,14.6,clear,1029.36,1,Winter,0.7,mountain,Sunny
31.2,68,8.5,10.3,clear,1016.72,2,Winter,2.1,coastal,Sunny
10.6,52,15.6,57.1,clear,1015.39,2,Summer,9.0,coastal,Rainy
39.1,85,0.7,1.8,clear,996.64,0,Spring,2.8,mountain,Sunny
35.0,74,12.2,48.2,clear,1025.28,5,Summer,3.9,inland,Rainy
16.4,45,11.5,21.0,clear,1007.1,7,Autumn,1.5,mountain,Sunny
15.5,57,14.5,34.6,clear,996.49,2,Autumn,2.6,mountain,Cloudy
15.5,90,12.2,77.6,partly cloudy,990.5,4,Autumn,5.4,mountain,Rainy
19.1,44,16.6,94.1,clear,1012.39,0,Autumn,6.3,coastal,Cloudy
25.7,86,19.2,7.2,clear,1011.1,9,Autumn,2.8,inland,Cloudy
23.0,64,7.2,53.4,partly cloudy,1018.77,6,Spring,1.0,inland,Rainy
18.7,41,4.9,88.3,partly cloudy,1025.61,9,Winter,4.2,mountain,Cloudy
28.4,49,8.8,8.3,partly cloudy,993.18,0,Summer,2.7,coastal,Rainy
14.2,95,6.1,82.5,clear,1019.26,10,Summer,2.6,mountain,Cloudy
18.8,69,12.5,35.8,overcast,997.5,8,Autumn,9.6,coastal,Rainy
21.0,89,18.3,32.2,overcast,1024.33,7,Summer,6.4,coastal,Rainy
23.7,98,3.2,97.7,partly cloudy,1022.76,6,Autumn,5.8,coastal,Sunny
33.6,84,2.5,20.1,overcast,1011.63,9,Spring,4.4,coastal,Rainy
16.0,44,5.5,69.3,partly cloudy,1018.41,6,Spring,4.6,inland,Rainy
25.4,94,14.7,82.1,clear,1002.57,4,Winter,5.6,coastal,Cloudy
27.8,95,12.1,4.1,overcast,1008.85,4,Spring,7.1,coastal,Rainy
11.4,72,2.5,67.0,clear,1022.87,10,Spring,7.2,mountain,Sunny
28.2,93,18.4,95.2,overcast,1008.37,4,Winter,2.1,mountain,Cloudy
15.1,40,15.9,12.4,clear,1004.31,0,Summer,5.3,inland,Cloudy
12.0,57,0.9,89.6,overcast,1009.77,7,Autumn,4.4,mountain,Sunny
38.5,71,13.2,59.5,clear,1023.13,10,Autumn,8.8,coastal,Cloudy
39.0,86,15.5,61.7,clear,1003.41,0,Summer,6.5,mountain,Cloudy
34.3,88,7.8,61.3,overcast,996.95,3,Winter,5.6,inland,Cloudy
19.1,50,1.8,29.9,clear,1018.48,8,Summer,1.6,mountain,Cloudy
12.9,60,2.0,93.5,clear,1023.04,8,Spring,6.3,mountain,Sunny
30.5,65,2.5,94.7,clear,994.03,4,Winter,1.6,inland,Sunny
23.2,64,16.9,62.5,overcast,999.59,3,Winter,3.7,inland,Cloudy
13.7,61,18.3,78.3,overcast,995.68,2,Winter,1.9,coastal,Cloudy
24.9,98,2.9,61.2,clear,1003.92,2,Autumn,7.1,mountain,Sunny
11.0,66,5.1,48.4,clear,1008.01,4,Summer,2.5,coastal,Sunny
37.3,88,3.7,66.1,overcast,1019.95,9,Winter,4.2,mountain,Sunny
17.8,52,4.1,55.3,overcast,1016.05,0,Winter,9.0,mountain,Cloudy
29.9,72,16.8,59.7,clear,1014.84,4,Winter,2.4,coastal,Cloudy
19.4,73,7.0,78.4,clear,1004.09,5,Summer,5.3,mountain,Rainy
25.6,80,6.6,48.1,clear,1023.66,6,Autumn,4.5,mountain,Sunny
